location_id,city,postal_code,country,address,confirmed
fXCYytxk8gth6TZpm,Paris,75009,FR,"40 Bd Haussmann, 75009 Paris, France",true
uKPt2mU9lpcSpBTVv,Paris,75009,FR,"48 Bd Haussmann, 75009 Paris, France",true
vogDH7ggQo7fuMEqA,Serris,77700,FR,"3 Cr de la Garonne, 77700 Serris, France",true
G20dLnPvdWKEot5lt,Paris,75011,FR,"6 Rue St Sabin, 75011 Paris, France",true
nVHUS7WhY4RnXRmZk,Bègles,33130,FR,"Rue des Frères Lumière, 33130 Bègles, France",true
7YBYgZ3OjoSMxgoXb,Paris,75018,FR,"199 Rue Championnet, 75018 Paris, France",true
RuV1PvxAqnUY3GdLP,Paris,75012,FR,"16 Cr Saint-Emilion, 75012 Paris, France",true
Ga7GUfcmsBtsXyTiX,Paris,75008,FR,"10 Rue Treilhard, 75008 Paris, France",true
YefR0VK5Xan0ync3S,Paris,75017,FR,"45 Av. de Clichy 43, 75017 Paris, France",true
tNMyxc0nVjQy1sVot,Argenteuil,95100,FR,"50 Av. du Marechal Foch, 95100 Argenteuil, France",true
urYkS2wGQFeB6QaGj,Lyon,69003,FR,"107 Bd Marius Vivier Merle, 69003 Lyon, France",true
6y4X9ErEFxcodcSh0,Saint-Grégoire,35760,FR,"route De Saint Malo, Centre Commercial Grand Quartier, 35760 Saint-Grégoire, France",true
OEfQqsu84qpqdKQWS,Paris,75003,FR,"66 Rue des Archives, 75003 Paris, France",true
ar1Fn0YECxpg0BOLR,Paris,75002,FR,"17-21 Rue Saint-Fiacre, 75002 Paris, France",true
6mXW5AoDJiljei2Nc,Marseille,13010,FR,"44 Bd Fifi Turin, 13010 Marseille, France",true
2IDqX8Xjrw9wZYML0,Villeurbanne,69100,FR,"208 Av. Roger Salengro, 69100 Villeurbanne, France",true
WeMOuGF0rZJZYRO4X,Levallois-Perret,92300,FR,"31 rue d'alsace ccial so ouest porte victor hugo, niveau -1, 92300 Levallois-Perret, France",true
cEOh3rhxrg9nw98Vt,Paris,75004,FR,"52 Rue de Rivoli, 75004 Paris, France",true
u9BfoEmwpOip7OgBd,Serris,77700,FR,"3 Cr de la Garonne, 77700 Serris, France",true
kOMcedwgANivab5M3,Paris,75003,FR,"90 Rue Notre Dame de Nazareth, 75003 Paris, France",true
FdSchvbGH5nUHJOsT,Issy-les-Moulineaux,92130,FR,"1 Rue du Colonel Pierre Avia, 92130 Issy-les-Moulineaux, France",true
WpLY3EIBoIF49008M,Paris,75008,FR,"60 Rue de Monceau, 75008 Paris, France",true
TVf90cA0yYRhmSHok,Gonesse,95500,FR,"2 Rue de la Belle Étoile, 95500 Gonesse, France",true
RCBdPI6qMnQeX30L2,Bagneux,92220,FR,"5 All. du Parc de Garlande, 92220 Bagneux, France",true
WQfYF0nwcQN5IAmtR,Paris,75008,FR,"3 Rue d'Édimbourg, 75008 Paris, France",true
aSaISDxJLJE0BXI1k,Gennevilliers,92230,FR,"92230 Gennevilliers, France",true
S0gOOjLH0jKRdyyTJ,Paris,75001,FR,"8 Rue Montmartre, 75001 Paris, France",true
CslnAfFoqcXhw3UGH,Marseille,13011,FR,"Rte de la Sablière, 13011 Marseille, France",true
35vcP6YqNHZqxtN6S,Paris,75011,FR,"1 Bis Av. de la République, 75011 Paris, France",true
FUwssaEJ7IJt5Nv6u,Rungis,94150,FR,"29 Pl. de la Seine, 94150 Rungis, France",true
hJLpEZ2wkqbFEuAPM,Vigneux-sur-Seine,,FR,"Rue de la Longueraie, Vigneux-sur-Seine, France",true
vqRag3ecPEhKulNqy,Villebon-sur-Yvette,91140,FR,"Av. d'Islande, 91140 Villebon-sur-Yvette, France",true
MW3v4nv9dPaHfcZcv,Villebon-sur-Yvette,91140,FR,"Av. de la Plesse, 91140 Villebon-sur-Yvette, France",true
eynDaSFsB9GUhuDT2,Paris,75008,FR,"64 Bd Haussmann, 75008 Paris, France",true
019weGX7y2HMG7lbg,Paris,,FR,"Paris, France",true
FyvKnbBpyyk1vmCEb,Wissous,91320,FR,"18 Bd Arago, 91320 Wissous, France",true
np32RMMWQWtDpyKPF,Paris,75009,FR,"40 Bd Haussmann, 75009 Paris, France",true
x9qlSMVV5j8DB45O3,Antibes,06160,FR,"122 Bd du Président Wilson, 06160 Antibes, France",true
